Unnamed: 0,county name,yes count 2020,no count 2020,total count 2020,yes perc 2020,no perc 2020,yes count 2018,no count 2018,total count 2018,yes perc 2018,no perc 2018,yes count 2022,no count 2022,total count 2022,yes perc 2022,no perc 2022,Population (January 2023),Median Household Income (2021),Race/Ethnicity: American Indian (2023),Race/Ethnicity: Asian (2023),Race/Ethnicity: Black (2023),Race/Ethnicity: Hispanic (2023),Race/Ethnicity: Multi-Racial/Ethnic (2023),Race/Ethnicity: Hawaiian/ Pacific Island (2023),Race/Ethnicity: White (2023),Age: 0-5 (2023),Age: 6-17 (2023),Age: 18-64 (2023),Age: 65+ (2023),Under 5 years %,5 to 9 years %,10 to 14 years %,15 to 19 years %,20 to 24 years %,25 to 29 years %,30 to 34 years %,35 to 39 years %,40 to 44 years %,45 to 49 years %,50 to 54 years %,55 to 59 years %,60 to 64 years %,65 to 69 years %,70 to 74 years %,75 to 79 years %,80 to 84 years %,85 years and over %,16 years and over %,18 years and over %,21 years and over %,62 years and over %,65 years and over %,Male population %,Under 5 years %.1,5 to 9 years %.1,10 to 14 years %.1,15 to 19 years %.1,20 to 24 years %.1,25 to 29 years %.1,30 to 34 years %.1,35 to 39 years %.1,40 to 44 years %.1,45 to 49 years %.1,50 to 54 years %.1,55 to 59 years %.1,60 to 64 years %.1,65 to 69 years %.1,70 to 74 years %.1,75 to 79 years %.1,80 to 84 years %.1,85 years and over %.1,16 years and over %.1,18 years and over %.1,21 years and over %.1,62 years and over %.1,65 years and over %.1,Female population %,Under 5 years %.2,5 to 9 years %.2,10 to 14 years %.2,15 to 19 years %.2,20 to 24 years %.2,25 to 29 years %.2,30 to 34 years %.2,35 to 39 years %.2,40 to 44 years %.2,45 to 49 years %.2,50 to 54 years %.2,55 to 59 years %.2,60 to 64 years %.2,65 to 69 years %.2,70 to 74 years %.2,75 to 79 years %.2,80 to 84 years %.2,85 years and over %.2,16 years and over %.2,18 years and over %.2,21 years and over %.2,62 years and over %.2,65 years and over %.2,Both sexes %,Male %,Female %,One Race %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Some Other Race %,Two or More Races %,Total races tallied %,White alone or in combination with one or more other races %,Black or African American alone or in combination with one or more other races %,American Indian and Alaska Native alone or in combination with one or more other races %,Asian alone or in combination with one or more other races %,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races %,Some Other Race alone or in combination with one or more other races %,Hispanic or Latino (of any race) %,Not Hispanic or Latino %,Hispanic or Latino %,White alone %,Black or African American alone %,American Indian and Alaska Native alone %,Asian alone %,Native Hawaiian and Other Pacific Islander alone %,Some Other Race alone %,Two or More Races %.1,Not Hispanic or Latino %.1,White alone %.1,Black or African American alone %.1,American Indian and Alaska Native alone %.1,Asian alone %.1,Native Hawaiian and Other Pacific Islander alone %.1,Some Other Race alone %.1,Two or More Races %.2,In households %,Householder %,Opposite-sex spouse %,Same-sex spouse %,Opposite-sex unmarried partner %,Same-sex unmarried partner %,Child [2] %,Under 18 years %,Grandchild %,Under 18 years %.1,Other relatives %,Nonrelatives %,In group quarters %,Institutionalized population: %,Male %.1,Female %.1,Noninstitutionalized population: %,Male %.2,Female %.2,Total households %,Married couple household %,With own children under 18 [3] %,Cohabiting couple household %,With own children under 18 [3] %.1,"Male householder, no spouse or partner present: %",Living alone %,65 years and over %.3,With own children under 18 [3] %.2,"Female householder, no spouse or partner present: %",Living alone %.1,65 years and over %.4,With own children under 18 [3] %.3,Households with individuals under 18 years %,Households with individuals 65 years and over %,Total housing units %,Occupied housing units %,Vacant housing units %,For rent %,"Rented, not occupied %",For sale only %,"Sold, not occupied %","For seasonal, recreational, or occasional use %",All other vacants %,Homeowner vacancy rate (percent) [4] %,Rental vacancy rate (percent) [5] %,Occupied housing units %.1,Owner-occupied housing units %,Renter-occupied housing units %,COUNTY,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000,eligible 2018,total registered 2018,democratic 2018,republican 2018,american independent 2018,green 2018,libertarian 2018,peace and freedom 2018,unknown 2018,other 2018,no party preference 2018,eligible 2020,total registered 2020,democratic 2020,republican 2020,american independent 2020,green 2020,libertarian 2020,peace and freedom 2020,unknown 2020,other 2020,no party preference 2020,eligible 2022,total registered 2022,democratic 2022,republican 2022,american independent 2022,green 2022,libertarian 2022,peace and freedom 2022,unknown 2022,other 2022,no party preference 2022
0.0,Alameda,329873.0,413277.0,743150.0,0.4438848146403821,0.5561151853596178,275550.0,280735.0,556285.0,0.4953396190801478,0.5046603809198522,182697.0,290746.0,473443.0,0.3858901705168309,0.6141098294831691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Alpine,344.0,369.0,713.0,0.4824684431977559,0.517531556802244,298.0,281.0,579.0,0.5146804835924007,0.4853195164075993,272.0,317.0,589.0,0.4617996604414261,0.5382003395585738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Amador,4615.0,17149.0,21764.0,0.2120474177540893,0.7879525822459107,5256.0,11775.0,17031.0,0.3086137044213493,0.6913862955786507,3590.0,14569.0,18159.0,0.1976981111294674,0.8023018888705326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Butte,29338.0,70174.0,99512.0,0.2948187153308144,0.7051812846691856,30908.0,55394.0,86302.0,0.3581377024866167,0.6418622975133832,16478.0,54015.0,70493.0,0.2337537060417346,0.7662462939582654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Calaveras,5538.0,20896.0,26434.0,0.209502912915185,0.790497087084815,6688.0,14224.0,20912.0,0.3198163733741392,0.6801836266258607,4280.0,16440.0,20720.0,0.2065637065637065,0.7934362934362934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Colusa,2022.0,5779.0,7801.0,0.2591975387770798,0.7408024612229201,1598.0,4019.0,5617.0,0.2844935018693252,0.7155064981306747,1186.0,4213.0,5399.0,0.2196703093165401,0.7803296906834599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Contra Costa,212213.0,350108.0,562321.0,0.3773876486917614,0.6226123513082386,173937.0,235739.0,409676.0,0.4245721008797196,0.5754278991202804,122486.0,257323.0,379809.0,0.3224936744521589,0.6775063255478412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Del Norte,3793.0,7345.0,11138.0,0.3405458789728856,0.6594541210271144,3607.0,4425.0,8032.0,0.4490786852589641,0.5509213147410359,2637.0,5481.0,8118.0,0.3248337028824833,0.6751662971175166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,El Dorado,28619.0,83829.0,112448.0,0.2545087507114399,0.74549124928856,29038.0,56630.0,85668.0,0.3389597049073166,0.6610402950926834,19277.0,66575.0,85852.0,0.2245375762940875,0.7754624237059125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Fresno,118174.0,237669.0,355843.0,0.3320958962238965,0.6679041037761035,78831.0,167707.0,246538.0,0.319751924652589,0.6802480753474109,57578.0,156778.0,214356.0,0.2686092295060553,0.7313907704939446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
